Geo. Code,Inc. Group Code,Country,VATR,VATGCR,VATPROD,THRESHOLD,VATYEAR,CITR,CITPROD,PITMINR,PITMAXR,PITMAXL,PITMINL,PITPROD,SSR,WEDGE,VATY,CITY,PITY,TAXY ,COST,FUNCTION,SARA,LTU,CUSTOMS,CERTIFICATION,TAXSTAFF,PAYERTO STAFF,HYDRO-CARBON,PCGDP,AG,IMPORTS,PCONS,
7,4,San Marino,N/A,N/A,N/A,N/A,N/A,17.0, N/A ,12.0,50.0,171.56, 0.00 ,N/A,19.70,19.71, N/A , N/A , N/A , 15.40 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,1886 , 41.4 , N/A , 85.0 ,
4,4,Saudi Arabia,0.0,N/A,N/A,N/A,N/A,20.0, N/A ,20.0,20.0,0.00, 0.00 ,0.02,20.00,20.00, N/A , N/A , 0.40 , 1.10 ,1.57,1,0,1,0,1,0.05,310.2,1,29401 , 2.6 , 30.6 , 30.2 ,
6,1,Senegal,18.0,54.0,0.43,0,1980,25.0, 0.06 ,18.0,50.0,13.69, 0.66 ,0.10,29.50,41.32, 7.80 , 1.40 , 4.90 , 18.88 ,N/A,1,0,1,0,0,N/A,N/A,0,1975 , 15.0 , 44.2 , 80.3 ,
2,3,Serbia,18.0,82.8,0.60,109686,2006,10.0, 0.11 ,12.0,12.0,0.00, 0.00 ,0.18,35.80,35.80, 10.79 , 1.08 , 2.21 , 20.61 ,N/A,1,0,1,0,0,0.88,282.4,0,10405 , 9.0 , 51.2 , 72.4 ,
6,3,Seychelles,15.0,85.4,0.62,N/A,N/A,40.0, 0.25 ,0.0,0.0,0.00, 0.00 ,0.00,22.50,22.50, 9.31 , 9.93 , 1.64 , 31.68 ,N/A,1,0,N/A,1,0,N/A,N/A,0,24395 , 2.2 , 99.1 , 72.7 ,
6,1,Sierra Leone,15.0,21.5,0.19,N/A,2009,30.0, 0.02 ,20.0,30.0,1.55, 0.31 ,0.11,15.00,21.18, 2.79 , 0.58 , 3.13 , 11.07 ,N/A,1,1,1,1,0,N/A,N/A,0,1131 , 57.6 , 54.5 , 86.8 ,
1,4,Singapore,7.0,91.6,0.37,795735,1994,17.0, 0.24 ,3.5,20.0,4.27, 0.00 ,0.10,35.00,35.00, 2.60 , 4.10 , 2.06 , 13.79 ,0.87,1,1,0,0,0,0.34,977.8,0,59595 , 0.0 , 182.3 , 40.6 ,
2,3,Slovak Republic,19.0,61.4,0.35,69328,2009,19.0, 0.14 ,19.0,19.0,0.00, 0.00 ,0.13,37.60,37.60, 6.70 , 2.60 , 2.50 , 12.56 ,3.04,1,1,1,0,1,0.97,224.6,0,23366 , 3.9 , 86.4 , 57.4 ,
2,4,Slovenia,20.0,71.4,0.40,69620,1999,20.0, 0.09 ,16.0,41.0,0.74, 0.00 ,0.06,38.20,38.20, 8.10 , 1.86 , 2.51 , 17.65 ,0.93,1,1,1,0,1,1.21,459.2,0,28436 , 2.5 , 71.3 , 56.8 ,
1,1,Solomon Islands,10.0,253.7,1.0,N/A,N/A,30.0, 0.13 ,11.0,40.0,2.68, 0.00 ,0.29,12.50,12.50, 10.40 , 3.80 , 11.70 , 29.62 ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,3189 , 38.9 , 49.6 , 41.0 ,
