Geo. Code,Inc. Group Code,Country,VATR,VATGCR,VATPROD,THRESHOLD,VATYEAR,CITR,CITPROD,PITMINR,PITMAXR,PITMAXL,PITMINL,PITPROD,SSR,WEDGE,VATY,CITY,PITY,TAXY ,COST,FUNCTION,SARA,LTU,CUSTOMS,CERTIFICATION,TAXSTAFF,PAYERTO STAFF,HYDRO-CARBON,PCGDP,AG,IMPORTS,PCONS,
3,4,Bahamas,0.0,N/A,N/A,N/A,N/A,0.0, N/A ,0.0,0.0,0.00, -   ,N/A,10.80,10.80, N/A , N/A , N/A , 16.46 ,N/A,N/A,0,N/A,0,1,N/A,N/A,0,30415 , 2.2 , 56.5 , 70.7 ,
4,4,Bahrain,0.0,N/A,N/A,N/A,N/A,46.0, 0.02 ,0.0,0.0,0.00, -   ,N/A,20.00,20.00, 0.15 , 1.00 , N/A , 1.24 ,N/A,0,0,N/A,0,1,N/A,N/A,1,27735 , N/A , 74.3 , 30.8 ,
5,1,Bangladesh,15.0,29.8,0.23,27486,1991,27.5, 0.05 ,10.0,25.0,2.70, 1.19 ,0.05,0.00,0.00, 3.47 , 1.47 , 1.10 , 9.30 ,1.66,0,0,1,1,1,0.10,N/A,0,1909 , 18.3 , 31.6 , 77.8 ,
3,4,Barbados,15.0,131.3,0.81,30595,1997,25.0, 0.14 ,20.0,35.0,0.49, 0.00 ,0.26,13.36,13.36, 12.21 , 3.50 , 9.00 , 25.54 ,N/A,0,1,0,0,1,N/A,N/A,0,24989 , 3.0 , 52.4 , 62.0 ,
2,2,Belarus,20.0,62.0,0.31,55696,2009,24.0, 0.04 ,12.0,12.0,0.00, 0.00 ,0.28,12.30,12.30, 6.29 , 0.95 , 3.40 , 15.00 ,N/A,0,1,N/A,1,1,0.97,348.4,0,15056 , 9.9 , 90.0 , 50.7 ,
7,4,Belgium,21.0,63.3,0.33,48734,1971,34.0, 0.09 ,25.0,50.0,1.27, 0.00 ,0.31,37.84,37.84, 7.00 , 3.00 , 15.30 , 43.70 ,1.36,1,0,1,0,1,1.00,732.3,0,37611 , 0.7 , 83.1 , 52.6 ,
3,3,Belize,12.5,82.8,0.55,38970,2006,25.0, 0.16 ,25.0,25.0,1.24, 1.24 ,0.06,N/A,N/A, 6.90 , 3.90 , 1.50 , 22.64 ,N/A,0,0,0,0,1,0.26,N/A,0,8303 , 12.2 , 65.3 , 66.7 ,
6,1,Benin,18.0,56.5,0.39,86554,1991,30.0, 0.05 ,10.0,35.0,0.71, 0.07 ,0.11,20.00,20.67, 7.00 , 1.60 , 3.50 , 15.52 ,N/A,N/A,0,1,0,0,N/A,N/A,0,1620 , 21.3 , 27.0 , 68.8 ,
3,4,Bermuda,0.0,N/A,N/A,N/A,N/A,0.0, N/A ,0.0,0.0,N/A, N/A ,N/A,10.00,10.00, N/A , N/A , N/A , N/A ,N/A,1,0,0,0,0,N/A,N/A,0,N/A, 0.8 , 36.1 , 94.8 ,
5,2,Bhutan,20.0,N/A,N/A,N/A,N/A,30.0, 0.16 ,10.0,25.0,3.57, 0.36 ,0.03,N/A,N/A, N/A , 4.80 , 0.60 , 12.01 ,3.41,1,0,0,1,1,0.82,343.0,0,6009 , 15.9 , 55.8 , 37.8 ,
3,2,Bolivia,13.0,85.8,0.52,0,1973,25.0, 0.05 ,13.0,13.0,0.00, 0.00 ,N/A,21.17,21.17, 6.80 , 1.20 , N/A , 28.30 ,N/A,1,1,1,0,1,0.15,N/A,1,4851 , 12.5 , 38.4 , 60.9 ,
2,2,"Bosnia and Herzegovina, Federation of",17.0,87.0,0.7,35564,N/A,10.0, 0.08 ,10.0,10.0,0.00, 0.00 ,0.35,41.50,41.50, 11.80 , 0.80 , 3.50 , 23.10 ,1.03,1,0,1,N/A,1,0.58,74.0,0,8115 , 8.7 , 64.8 , 79.8 ,
2,2,"Bosnia and Herzegovina, Republika Srpska",N/A,N/A,N/A,N/A,N/A,10.0, N/A ,8.0,8.0,N/A, N/A ,N/A,30.60,30.60, N/A , N/A , N/A , N/A ,1.17,1,0,1,N/A,1,0.57,74.8,0,N/A, N/A , N/A , N/A ,
2,2,"Bosnia and Herzegovina, State (VAT only)",17.0,N/A,N/A,32950,2006,N/A, N/A ,N/A,N/A,N/A, N/A ,N/A,N/A,N/A, N/A , N/A , N/A , N/A ,N/A,1,1,1,1,1,0.60,20.2,0,N/A, N/A , N/A , 80.2 ,
6,3,Botswana,10.0,76.8,0.41,37181,2002,22.0, 0.19 ,5.0,25.0,1.11, 0.28 ,0.39,0.00,1.39, 4.12 , 4.26 , 8.20 , 20.40 ,0.88,1,1,1,1,1,0.70,44.5,0,16105 , 2.5 , 44.3 , 53.6 ,
3,3,Brazil,17.0,77.0,0.46,0,2009,25.0, 0.18 ,7.5,27.5,2.21, 0.88 ,0.12,21.00,27.63, 7.90 , 4.50 , 2.60 , 23.80 ,0.91,1,1,1,1,1,0.13,7817.3,0,11666 , 5.5 , 12.6 , 60.3 ,
1,4,Brunei Darussalam,0.0,N/A,N/A,0,N/A,21.0, 0.62 ,0.0,0.0,0.00, 0.00 ,0.00,17.00,17.00, 0.09 , 13.02 , 0.00 , 13.81 ,N/A,1,0,0,0,0,0.07,N/A,1,53557 , 0.6 , 29.1 , 17.2 ,
2,3,Bulgaria,20.0,72.3,0.44,35587,1994,10.0, 0.18 ,10.0,10.0,0.00, 0.00 ,0.30,28.90,28.90, 8.78 , 1.80 , 3.00 , 19.05 ,1.34,1,1,1,0,1,1.08,168.7,0,13812 , 5.6 , 65.8 , 60.7 ,
6,1,Burkina Faso,18.0,53.3,0.34,120,1993,30.0, 0.05 ,2.0,30.0,4.98, 0.00 ,0.15,25.00,25.00, 6.20 , 1.40 , 4.40 , 13.76 ,N/A,0,0,1,0,0,N/A,N/A,0,1302 , 33.8 , 28.6 , 64.6 ,
6,1,Burundi,18.0,59.1,0.49,N/A,2009,35.0, 0.07 ,0.5,35.0,N/A, N/A ,N/A,13.00,13.00, 8.90 , 2.60 , 4.60 , 14.28 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,605 , 35.2 , 33.8 , 83.7 ,
1,1,Cambodia,10.0,44.2,0.36,100000,1999,20.0, 0.07 ,5.0,20.0,1.39, 0.06 ,0.09,N/A,N/A, 3.64 , 1.30 , 1.80 , 10.29 ,N/A,N/A,0,1,0,0,0.10,28.8,0,2239 , 36.7 , 59.5 , 82.3 ,
6,2,Cameroon,17.5,41.1,0.29,32458,1999,35.0, 0.07 ,10.0,35.0,4.76, 0.00 ,0.12,15.75,15.75, 5.00 , 2.40 , 4.20 , 12.25 ,N/A,N/A,0,1,0,0,N/A,N/A,1,2275 , N/A , 35.0 , 69.5 ,
8,4,Canada,5.0,143.8,0.82,30340,1991,18.0, 0.17 ,15.0,29.0,3.08, 0.99 ,0.57,14.17,29.08, 4.10 , 3.10 , 14.50 , 10.04 ,1.31,1,1,1,0,0,1.12,858.7,0,41690 , N/A , 32.4 , 57.0 ,
6,2,Cape Verde,15.0,77.7,0.57,61000,2004,30.0, 0.08 ,15.0,45.0,7.57, 1.24 ,0.09,23.00,23.00, 8.51 , 2.55 , 3.53 , 19.40 ,N/A,1,0,1,0,0,N/A,N/A,0,3947 , 10.4 , 72.6 , 73.1 ,
6,1,Central African Republic,19.0,21.4,0.19,64000,2001,30.0, 0.02 ,10.0,50.0,9.23, 1.01 ,0.02,22.00,22.00, 3.70 , 0.64 , 0.76 , 9.39 ,N/A,1,0,1,N/A,0,N/A,N/A,0,774 , 56.5 , 23.3 , 91.1 ,
6,1,Chad,18.0,5.3,0.04,42240,2000,40.0, 0.02 ,20.0,60.0,7.04, 0.00 ,0.02,20.00,20.00, 0.70 , 0.70 , 1.00 , 21.23 ,N/A,1,0,1,0,0,N/A,N/A,1,1844 , 13.6 , 25.5 , 73.1 ,
3,3,Chile,19.0,69.1,0.42,0,1975,17.0, 0.16 ,5.0,40.0,8.32, 0.75 ,0.23,20.95,24.69, 7.90 , 2.80 , 8.60 , 18.48 ,0.68,1,1,1,0,0,0.24,2194.8,0,17310 , 3.4 , 34.7 , 60.2 ,
1,2,"China, People's Republic of",17.0,164.2,0.56,9296,1994,25.0, 0.14 ,5.0,45.0,1.85, 0.00 ,0.11,40.00,40.00, 9.60 , 3.50 , 4.80 , 18.96 ,N/A,1,0,1,0,1,0.56,N/A,0,8391 , 10.0 , 27.3 , 34.4 ,
3,2,Colombia,16.0,53.4,0.33,37210,1975,33.0, 0.00 ,19.0,33.0,0.50, 0.13 ,0.13,45.14,47.63, 5.27 , 0.01 , 3.80 , 10.26 ,0.68,1,1,1,1,1,0.20,N/A,1,10315 , 7.0 , 20.1 , 61.7 ,
6,1,Comoros,10.0,N/A,N/A,57500,2009,50.0, N/A ,5.0,30.0,8.06, 0.35 ,0.10,N/A,N/A, N/A , N/A , 3.00 , 10.89 ,N/A,N/A,0,1,0,0,N/A,N/A,0,1232 , 46.3 , 51.8 , 105.8 ,
6,1,"Congo, Democratic Republic of",13.0,N/A,N/A,N/A,2009,40.0, 0.06 ,3.0,50.0,14.48, 0.00 ,0.03,12.50,12.50, N/A , 2.30 , 1.30 , 14.64 ,N/A,1,0,1,0,0,N/A,N/A,0,349 , 45.6 , 78.0 , 76.0 ,
6,2,"Congo, Republic of",16.0,117.2,0.14,N/A,1997,38.0, 0.03 ,1.0,45.0,3.81, 0.10 ,0.01,24.28,24.38, 2.30 , 1.00 , 0.60 , 8.39 ,N/A,1,0,1,0,0,N/A,N/A,1,4543 , 3.4 , 34.8 , 12.3 ,
1,3,Cook Islands,12.5,N/A,N/A,21824,1997,20.0, N/A ,25.0,30.0,N/A, N/A ,N/A,N/A,N/A, N/A , N/A , N/A , N/A ,N/A,N/A,0,N/A,1,1,N/A,N/A,0,N/A, 7.6 , 87.6 , 52.6 ,
3,3,Costa Rica,13.0,57.5,0.38,94941,1975,30.0, 0.09 ,10.0,15.0,2.08, 1.38 ,0.29,26.59,26.59, 4.89 , 2.70 , 3.80 , 13.85 ,N/A,1,0,1,0,0,0.21,537.5,0,11927 , 6.4 , 41.6 , 65.5 ,
6,1,Cote d'Ivoire,18.0,6.9,0.06,100000,1960,25.0, 0.05 ,10.0,60.0,10.20, 0.41 ,0.08,15.75,19.83, 1.00 , 1.30 , 4.50 , 11.90 ,N/A,1,0,1,0,0,0.06,210.0,0,1591 , 24.3 , 40.6 , 81.1 ,
2,3,Croatia,23.0,84.3,0.50,15936,2009,20.0, 0.11 ,12.0,40.0,1.36, 0.00 ,0.01,36.70,36.70, 11.46 , 2.21 , 0.40 , 18.60 ,1.37,1,0,1,0,0,1.00,1107.8,0,17850 , 5.1 , 41.9 , 59.1 ,
3,2,Cuba,23.0,N/A,N/A,N/A,N/A,30.0, N/A ,25.0,50.0,N/A, N/A ,N/A,13.50,13.50, N/A , N/A , N/A , N/A ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,N/A, N/A , 18.2 , 53.8 ,
4,4,Cyprus,15.0,80.0,0.55,21721,1992,10.0, 0.68 ,20.0,30.0,1.83, 0.98 ,0.42,13.60,33.29, 8.20 , 6.80 , 11.00 , 25.90 ,1.23,1,0,0,0,0,0.77,461.7,0,27581 , 2.1 , 46.6 , 68.3 ,
7,4,Czech Republic,20.0,47.9,0.24,56635,2009,19.0, 0.11 ,15.0,15.0,0.00, 0.00 ,0.16,45.00,45.00, 4.86 , 2.14 , 2.36 , 13.33 ,1.34,1,1,0,0,1,1.44,228.8,0,27112 , 2.4 , 68.5 , 50.8 ,
7,4,Denmark,25.0,81.9,0.40,9357,1967,25.0, 0.10 ,3.7,51.5,1.95, 0.21 ,0.55,2.00,2.79, 10.00 , 2.50 , 25.80 , 47.10 ,0.71,1,1,1,1,1,1.24,749.5,0,37341 , 1.2 , 48.2 , 48.8 ,
4,2,Djibouti,7.0,N/A,N/A,457938,2009,25.0, 0.22 ,2.0,30.0,1.33, 0.00 ,0.31,2.00,2.00, N/A , 5.50 , 9.30 , 22.45 ,N/A,1,0,1,0,0,N/A,N/A,0,2579 , 3.9 , 80.0 , 57.5 ,
3,3,Dominica ,15.0,77.0,0.61,22080,2009,30.0, 0.06 ,16.0,36.0,1.35, 0.00 ,0.07,10.75,10.75, 9.20 , 1.90 , 2.60 , 24.24 ,N/A,0,0,N/A,0,0,N/A,N/A,0,13855 , 13.5 , 53.8 , 79.7 ,
3,2,Dominican Republic,16.0,30.6,0.26,174026,1983,25.0, 0.04 ,15.0,25.0,1.92, 0.95 ,0.14,20.10,34.31, 4.24 , 1.10 , 3.10 , 13.83 ,N/A,1,1,1,0,0,0.27,54.8,0,9287 , 6.0 , 35.3 , 86.6 ,
3,2,Ecuador,12.0,77.5,0.53,0,1970,25.0, 0.04 ,5.0,35.0,9.51, 0.93 ,0.00,19.00,23.66, 6.30 , 1.00 , 0.10 , 21.70 ,N/A,1,1,1,0,0,0.13,510.3,1,9552 , 7.0 , 38.6 , 67.8 ,
4,2,"Egypt, Arab Rep.",10.0,39.7,0.30,9128,1991,20.0, 0.26 ,10.0,20.0,1.05, 0.13 ,0.07,40.00,41.31, 3.01 , 5.15 , 1.39 , 14.01 ,N/A,0,0,1,1,0,N/A,N/A,0,6455 , 13.9 , 30.2 , 75.8 ,
3,2,El Salvador,13.0,54.9,0.52,5714,1992,25.0, 0.08 ,10.0,30.0,0.36, 0.04 ,0.10,20.80,21.20, 6.70 , 2.00 , 2.66 , 12.95 ,N/A,1,0,1,0,0,0.18,519.5,0,7222 , 12.7 , 47.3 , 94.0 ,
6,3,Equatorial Guinea,15.0,0.9,0.00,N/A,2005,35.0, 0.17 ,10.0,35.0,1.68, 0.08 ,0.02,26.00,26.84, 0.05 , 5.90 , 0.70 , 9.01 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,25670 , 3.2 , 47.4 , 37.8 ,
2,4,Estonia,20.0,81.1,0.42,21435,1992,21.0, 0.06 ,21.0,21.0,0.00, 0.00 ,0.26,35.90,35.90, 8.40 , 1.30 , 5.40 , 37.60 ,0.34,1,0,0,1,1,0.62,1685.8,0,20657 , 2.9 , 87.6 , 51.8 ,
6,1,Ethiopia,15.0,15.6,0.13,29766,2003,30.0, 0.05 ,10.0,35.0,3.19, 0.10 ,0.01,18.00,18.96, 1.91 , 1.57 , 0.33 , 9.28 ,N/A,1,1,1,1,0,N/A,N/A,0,1119 , 46.4 , 31.8 , 81.4 ,
1,2,Fiji,12.5,84.6,0.69,184498,1992,28.0, 0.13 ,25.0,31.0,2.67, 1.82 ,0.14,16.00,16.00, 8.65 , 3.50 , 4.10 , 22.51 ,2.50,1,1,1,1,1,0.91,144.8,0,4629 , 12.9 , 58.1 , 81.8 ,
7,4,Finland,23.0,69.7,0.39,11835,2009,26.0, 0.10 ,8.5,30.0,2.57, 0.59 ,0.60,27.48,32.48, 8.90 , 2.70 , 15.50 , 30.40 ,0.80,1,1,1,0,1,0.99,1072.9,0,35994 , 2.9 , 41.4 , 55.5 ,
7,4,France,19.6,61.9,0.36,113481,1954,33.3, 0.08 ,5.5,40.0,2.77, 0.23 ,0.27,42.48,43.76, 7.00 , 2.50 , 10.10 , 26.60 ,1.20,0,0,1,0,1,1.06,600.1,0,35090 , 1.8 , 29.8 , 57.7 ,
6,3,Gabon,18.0,70.8,0.25,129730,1995,30.0, N/A ,0.0,35.0,1.53, 0.21 ,0.23,22.60,22.60, 4.46 , N/A , 7.10 , 32.10 ,N/A,1,0,1,0,0,N/A,N/A,1,15530 , 3.8 , 35.8 , 35.0 ,
2,2,Georgia,18.0,85.0,0.64,59312,1992,15.0, 0.23 ,20.0,20.0,0.00, 0.00 ,0.30,25.00,25.00, 11.44 , 3.42 , 5.91 , 23.83 ,N/A,1,0,1,0,1,N/A,N/A,0,5502 , 9.3 , 55.1 , 74.8 ,
7,4,Germany,19.0,67.0,0.38,24367,1968,15.0, 0.11 ,15.0,45.0,9.14, 0.29 ,0.25,38.86,43.25, 7.30 , 1.70 , 11.00 , 22.30 ,1.40,1,0,1,0,1,1.36,291.2,0,38077 , 0.9 , 45.1 , 57.4 ,
6,1,Ghana,12.5,43.9,0.37,1,1998,25.0, 0.11 ,5.0,25.0,0.00, 0.00 ,0.10,18.50,18.50, 4.65 , 2.87 , 2.52 , 15.00 ,N/A,1,1,1,0,1,N/A,N/A,0,3113 , 25.6 , 51.1 , 84.7 ,
7,4,Greece,19.0,48.7,0.36,48734,1987,24.0, 0.10 ,15.0,40.0,4.09, 0.57 ,0.19,33.65,42.25, 6.90 , 2.40 , 6.90 , 20.90 ,N/A,1,0,0,1,1,0.86,1000.0,0,25510 , 3.1 , 33.1 , 74.6 ,
3,3,Grenada,10.0,86.9,0.77,44160,N/A,30.0, 0.08 ,30.0,30.0,0.00, 0.00 ,0.04,9.00,9.00, 7.66 , 2.31 , 1.20 , 19.13 ,N/A,N/A,0,N/A,0,1,N/A,N/A,0,13609 , 5.3 , 48.0 , 88.2 ,
3,2,Guatemala,12.0,58.6,0.51,7844,1983,5.0, 0.61 ,15.0,31.0,7.57, 0.00 ,0.01,11.50,11.50, 6.10 , 3.07 , 0.40 , 10.99 ,3.44,1,1,1,1,1,0.30,154.4,0,5093 , 11.3 , 37.9 , 86.7 ,
7,4,Guernsey,0.0,N/A,N/A,N/A,N/A,0.0, N/A ,20.0,20.0,18.10, 18.10 ,N/A,12.50,12.50, N/A , N/A , N/A , N/A ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,1049 , N/A , N/A , N/A ,
6,1,Guinea,15.0,41.6,0.37,30000,1996,35.0, N/A ,10.0,40.0,2.69, 0.01 ,0.08,25.00,25.13, 5.60 , N/A , 3.00 , 11.20 ,N/A,N/A,0,N/A,0,1,N/A,N/A,0,1086 , 22.1 , 48.2 , 89.7 ,
3,2,Guyana,16.0,67.5,0.61,49203,2007,45.0, 0.09 ,33.3,33.3,0.27, 0.00 ,0.25,13.00,13.00, 9.80 , 3.90 , 8.20 , 21.30 ,N/A,0,1,N/A,1,1,N/A,N/A,0,7569 , 21.3 , 102.4 , 90.7 ,
3,1,Haiti,10.0,N/A,N/A,2485,1982,30.0, 0.26 ,10.0,30.0,15.33, 0.41 ,0.08,14.00,18.09, N/A , 7.90 , 2.50 , 12.80 ,N/A,N/A,0,1,0,0,N/A,N/A,0,1235 , N/A , 55.1 , N/A ,
3,2,Honduras,12.0,62.2,0.48,9705,1976,25.0, 0.12 ,15.0,25.0,6.02, 1.33 ,0.22,10.70,10.70, 5.80 , 3.10 , 5.20 , 15.40 ,N/A,1,0,1,1,0,0.31,50.2,0,4475 , 14.5 , 68.8 , 77.7 ,
1,4,"Hong Kong, China",0.0,N/A,N/A,N/A,N/A,16.5, 0.32 ,2.0,17.0,0.31, 0.00 ,0.47,10.00,10.00, N/A , 5.20 , 8.00 , 13.50 ,0.75,1,0,N/A,0,0,0.40,793.6,0,50296 , 0.1 , 221.5 , 64.0 ,
2,3,Hungary,25.0,52.9,0.34,24915,2010,19.0, 0.07 ,17.0,32.0,1.27, 0.00 ,0.15,44.00,44.00, 8.40 , 1.30 , 4.90 , 23.60 ,1.12,1,1,1,1,0,2.32,187.3,0,19571 , 3.5 , 84.9 , 63.5 ,
7,4,Iceland,25.5,58.9,0.31,7263,2009,18.0, 0.10 ,22.9,31.8,1.85, 0.60 ,0.45,20.65,34.50, 7.80 , 1.80 , 13.30 , 31.70 ,0.60,1,1,0,0,0,0.89,1028.4,0,38039 , 7.2 , 50.8 , 51.9 ,
5,1,India,12.5,0.2,0.00,10673,2005,34.0, 0.12 ,10.0,30.0,5.82, 1.16 ,0.07,36.11,36.11, 0.02 , 4.14 , 1.89 , 10.72 ,0.55,1,1,1,0,1,0.03,773.4,0,3667 , 17.5 , 30.3 , 59.4 ,
1,2,Indonesia,10.0,65.9,0.37,68775,1985,25.0, 0.23 ,5.0,30.0,12.28, 0.00 ,0.00,9.24,9.24, 3.75 , 5.76 , 0.04 , 11.77 ,0.55,1,0,1,0,0,0.13,654.1,1,4669 , 14.7 , 24.9 , 56.8 ,
4,2,"Iran, Islamic Rep.",1.5,74.0,0.33,4002,N/A,25.0, 0.11 ,15.0,35.0,7.16, 0.00 ,0.11,30.00,30.00, 0.50 , 2.80 , 3.70 , 6.50 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,13312 , 10.2 , 21.5 , 45.0 ,
4,2,Iraq,0.0,N/A,N/A,N/A,N/A,15.0, 0.01 ,5.0,15.0,0.13, 0.00 ,0.03,N/A,N/A, N/A , 0.20 , 0.40 , 1.50 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,6619 , N/A , N/A , 60.9 ,
7,4,Ireland,21.0,62.0,0.30,52215,2010,12.5, 0.18 ,20.0,41.0,1.12, 0.00 ,0.28,12.50,12.50, 6.32 , 2.30 , 11.30 , 22.60 ,1.14,0,1,1,1,0,1.25,580.3,0,40895 , 1.0 , 84.3 , 48.6 ,
4,4,Israel,16.0,76.1,0.48,27988,2009,25.0, 0.15 ,10.0,48.0,4.46, 0.00 ,0.20,7.32,7.32, 7.60 , 3.70 , 9.80 , 24.29 ,0.90,1,0,N/A,1,1,0.72,356.8,0,31466 , N/A , 37.8 , 62.4 ,
7,4,Italy,20.0,50.5,0.31,48734,2010,27.5, 0.10 ,23.0,43.0,3.43, 0.00 ,0.32,39.36,39.36, 6.20 , 2.70 , 13.80 , 28.80 ,1.00,1,0,1,0,1,0.53,1428.6,0,30422 , 1.9 , 30.3 , 61.3 ,
3,2,Jamaica,17.5,46.5,0.40,35600,1991,33.3, 0.22 ,25.0,35.0,13.15, 0.58 ,0.03,5.00,19.50, 6.97 , 7.34 , 1.18 , 22.60 ,N/A,1,1,N/A,0,0,N/A,N/A,0,9027 , 6.5 , 53.8 , 85.6 ,
1,4,Japan,5.0,89.4,0.54,125471,1989,30.0, 0.11 ,5.0,40.0,6.48, 0.00 ,0.22,26.90,26.90, 2.70 , 3.30 , 8.60 , 16.80 ,1.75,1,1,1,0,0,0.44,444.4,0,34853 , 1.4 , 16.1 , 60.4 ,
4,2,Jordan,16.0,74.8,0.62,42487,1994,24.0, 0.11 ,7.0,14.0,5.75, 2.88 ,0.06,18.75,18.75, 9.93 , 2.54 , 0.72 , 14.95 ,0.53,1,0,1,0,1,0.27,56.0,0,5907 , 3.3 , 73.9 , 82.9 ,
2,3,Kazakhstan,12.0,58.7,0.27,291843,1992,20.0, 0.46 ,10.0,10.0,0.00, 0.00 ,1.05,33.00,33.00, 3.20 , 9.10 , 10.50 , 26.90 ,N/A,1,0,1,0,0,0.67,1450.5,1,13253 , 5.5 , 27.7 , 45.4 ,
6,1,Kenya,16.0,45.7,0.36,57193,1990,30.0, 0.14 ,10.0,30.0,3.07, 0.00 ,0.16,10.00,10.00, 5.68 , 4.23 , 4.77 , 19.64 ,N/A,1,1,1,1,1,N/A,N/A,0,1741 , 28.5 , 46.0 , 77.7 ,
1,2,Kiribati,5.0,N/A,N/A,N/A,N/A,27.5, 0.13 ,25.0,35.0,7.34, 0.26 ,0.11,15.00,21.59, N/A , 3.57 , 3.83 , 17.15 ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,5817 , 28.6 , N/A , 40.8 ,
1,4,"Korea, Republic of",10.0,79.1,0.42,43200,1977,22.0, 0.18 ,6.0,35.0,2.54, 0.00 ,0.22,16.35,16.35, 4.20 , 4.00 , 7.80 , 15.60 ,0.76,1,1,0,0,1,0.40,1266.3,0,31220 , 2.7 , 54.1 , 53.1 ,
2,2,Kosovo,16.0,69.6,0.65,72000,2001,10.0, 0.14 ,4.0,10.0,N/A, N/A ,N/A,10.00,10.00, 10.40 , 1.40 , 1.50 , 27.60 ,N/A,1,0,1,0,1,N/A,N/A,0,N/A, 12.0 , 61.1 , 93.3 ,
4,4,Kuwait,0.0,N/A,N/A,N/A,N/A,15.0, 0.03 ,0.0,0.0,0.00, 0.00 ,0.00,15.00,15.00, N/A , 0.40 , 0.20 , 0.77 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,38332 , N/A , 21.1 , 23.9 ,
2,1,Kyrgyz Republic,12.0,77.1,0.65,66500,2009,10.0, 0.04 ,10.0,10.0,0.00, 0.00 ,0.24,27.25,27.25, 7.84 , 0.42 , 2.35 , 16.13 ,N/A,N/A,0,1,0,0,N/A,N/A,0,2379 , 18.6 , 81.6 , 84.7 ,
1,1,Lao P.D.R.,10.0,50.7,0.35,N/A,2009,35.0, 0.07 ,5.0,28.0,1.82, 0.05 ,0.12,9.50,9.73, 3.50 , 2.40 , 3.20 , 13.68 ,N/A,N/A,0,N/A,0,1,N/A,N/A,0,2770 , 30.8 , 43.9 , 69.0 ,
2,3,Latvia,21.0,51.5,0.32,69225,2010,15.0, 0.09 ,26.0,26.0,0.00, 0.00 ,0.04,33.09,33.09, 6.72 , 1.38 , 1.00 , 13.18 ,0.70,1,1,1,1,1,2.33,187.2,0,16717 , 4.1 , 63.2 , 62.1 ,
4,3,Lebanon,10.0,65.1,0.52,100585,2002,15.0, 0.09 ,2.0,20.0,5.21, 0.00 ,0.03,23.50,23.50, 5.20 , 1.40 , 0.60 , 15.70 ,N/A,1,0,1,0,0,N/A,N/A,0,15449 , 5.9 , 50.4 , 79.8 ,
6,2,Lesotho,14.0,56.4,0.56,N/A,2003,15.0, 0.85 ,22.0,35.0,3.36, 3.36 ,0.35,6.00,6.00, 7.80 , 12.80 , 9.90 , 21.50 ,1.99,1,1,N/A,1,1,N/A,N/A,0,2024 , 7.8 , 112.6 , 98.7 ,
6,1,Liberia,7.0,9.1,0.1,N/A,N/A,35.0, 0.10 ,2.0,35.0,26.75, 0.27 ,0.08,7.75,8.28, 0.80 , 3.40 , 2.73 , 17.36 ,N/A,0,0,1,0,1,N/A,N/A,0,626 , 53.1 , 93.3 , 125.6 ,
4,3,Libya,0.0,N/A,N/A,N/A,N/A,40.0, N/A ,8.0,15.0,1.35, 0.00 ,0.07,18.20,18.20, N/A , N/A , 1.10 , 1.60 ,N/A,N/A,0,1,N/A,0,N/A,N/A,1,5904 , 1.9 , 27.5 , 22.9 ,
7,4,Liechtenstein,8.0,N/A,N/A,112790,1995,12.5, N/A ,3.0,21.0,N/A, N/A ,N/A,27.93,27.93, N/A , N/A , N/A , N/A ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,N/A, N/A , N/A , 108.5 ,
2,3,Lithuania,21.0,58.3,0.37,62571,1994,15.0, 0.05 ,15.0,15.0,0.00, 0.00 ,0.23,39.98,39.98, 7.80 , 0.80 , 3.50 , 13.32 ,0.98,1,1,1,0,0,1.00,438.0,0,20343 , 3.5 , 79.3 , 63.8 ,
7,4,Luxembourg,15.0,134.4,0.42,34810,1970,21.0, 0.24 ,8.2,39.0,0.70, 0.20 ,0.41,23.75,25.36, 6.30 , 5.00 , 13.20 , 25.80 ,0.84,1,0,0,0,1,1.78,284.5,0,79778 , 0.3 , 145.3 , 31.3 ,
1,4,Macau,0.0,N/A,N/A,N/A,N/A,12.0, N/A ,7.0,12.0,N/A, N/A ,N/A,N/A,N/A, N/A , N/A , N/A , N/A ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A, N/A , 53.6 , 20.7 ,
2,2,"Macedonia, FYR",18.0,70.1,0.52,45564,2000,10.0, 0.08 ,10.0,10.0,0.00, 0.00 ,0.21,32.00,32.00, 9.40 , 0.84 , 2.06 , 24.95 ,N/A,1,0,1,0,0,0.63,217.5,0,10444 , 11.0 , 74.1 , 74.5 ,
6,1,Madagascar,20.0,39.0,0.31,50000,1994,23.0, 0.06 ,5.0,23.0,0.42, 0.07 ,0.13,14.00,14.35, 6.20 , 1.30 , 2.70 , 11.10 ,N/A,1,1,1,0,0,N/A,N/A,0,944 , 29.1 , 37.1 , 79.4 ,
